eggs,DryW,stage
97,0.0424,1
245,0.127,1
330,0.176,1
550,0.259,2
296,0.1296,2
418,0.2075,1
156,0.0918,1
720,0.5836,1
781,0.3965,1
470,0.2722,2
480,0.2163,2
356,0.2109,1
253,0.1342,1
965,0.7106,1
1111,0.5725,1
1020,0.5312,2
776,0.3459,2
774,0.4184,1
433,0.1889,1
532,0.2467,1
424,0.2464,1
326,0.2098,1
857,0.4353,1
858,0.4565,1
160,0.037,1
